date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:33:58	247235/247235	---M-Z	200	added ('OK')	text/html	etag:%221d0a729-3c5c3-5a089d7245700-gzip%22	http://themes.pixelstrap.com/multikart/front-end/index.html	C:/My%20Web%20Sites/ecommerce%20front%20end/themes.pixelstrap.com/multikart/front-end/index.html	(from )
00:33:59	31/31	---M--	200	added ('OK')	text/plain	etag:%221c5ed12-1f-573674df1a4fa%22	http://themes.pixelstrap.com/robots.txt		(from )
00:33:59	391/391	---M--	200	added ('OK')	image/png	etag:%221cc2261-187-5a1cfdb1d8380%22	http://themes.pixelstrap.com/multikart/assets/images/favicon/1.png	C:/My%20Web%20Sites/ecommerce%20front%20end/themes.pixelstrap.com/multikart/assets/images/favicon/1.png	(from http://themes.pixelstrap.com/multikart/front-end/index.html)
00:33:59	1587/1587	---M--	200	added ('OK')	text/css	etag:%221cc1aa9-633-5a62434c65580%22	http://themes.pixelstrap.com/multikart/assets/css/slick.css	C:/My%20Web%20Sites/ecommerce%20front%20end/themes.pixelstrap.com/multikart/assets/css/slick.css	(from http://themes.pixelstrap.com/multikart/front-end/index.html)
00:33:59	36637/36637	---M--	200	added ('OK')	text/css	etag:%221cc1a9f-8f1d-5a62434c65580%22	http://themes.pixelstrap.com/multikart/assets/css/fontawesome.css	C:/My%20Web%20Sites/ecommerce%20front%20end/themes.pixelstrap.com/multikart/assets/css/fontawesome.css	(from http://themes.pixelstrap.com/multikart/front-end/index.html)
00:34:00	3213/3213	---M--	200	added ('OK')	text/css	etag:%221cc1aaa-c8d-5a62434c65580%22	http://themes.pixelstrap.com/multikart/assets/css/slick-theme.css	C:/My%20Web%20Sites/ecommerce%20front%20end/themes.pixelstrap.com/multikart/assets/css/slick-theme.css	(from http://themes.pixelstrap.com/multikart/front-end/index.html)
00:34:02	16450/16450	---M--	200	added ('OK')	text/css	etag:%221cc1aac-4042-5965b1ad65e00%22	http://themes.pixelstrap.com/multikart/assets/css/themify-icons.css	C:/My%20Web%20Sites/ecommerce%20front%20end/themes.pixelstrap.com/multikart/assets/css/themify-icons.css	(from http://themes.pixelstrap.com/multikart/front-end/index.html)
00:34:02	60563/60563	---M--	200	added ('OK')	text/css	etag:%221cc1a69-ec93-5965b1ad65e00%22	http://themes.pixelstrap.com/multikart/assets/css/animate.css	C:/My%20Web%20Sites/ecommerce%20front%20end/themes.pixelstrap.com/multikart/assets/css/animate.css	(from http://themes.pixelstrap.com/multikart/front-end/index.html)
00:34:05	166090/166090	---M--	200	added ('OK')	text/css	etag:%221cc1a6f-288ca-5965b1ad65e00%22	http://themes.pixelstrap.com/multikart/assets/css/bootstrap.css	C:/My%20Web%20Sites/ecommerce%20front%20end/themes.pixelstrap.com/multikart/assets/css/bootstrap.css	(from http://themes.pixelstrap.com/multikart/front-end/index.html)
00:34:09	1050/1050	---M--	200	added ('OK')	image/png	etag:%221cc46d8-41a-5a1cfdb3c0800%22	http://themes.pixelstrap.com/multikart/assets/images/icon/logo.png	C:/My%20Web%20Sites/ecommerce%20front%20end/themes.pixelstrap.com/multikart/assets/images/icon/logo.png	(from http://themes.pixelstrap.com/multikart/front-end/index.html)
